id_venda,id_vendedor,id_cliente,data_venda,id_produto,quantidade
1,1,780,08/12/2020,18,1
2,7,223,11/07/2020,1,1
3,4,469,07/10/2020,7,1
4,5,500,01/12/2020,43,6
5,4,494,07/09/2020,13,2
6,2,223,07/08/2020,29,1
7,3,560,02/12/2020,39,3
8,4,521,22/12/2020,17,1
9,5,178,07/03/2020,14,1
10,5,187,27/07/2020,20,1
11,3,755,18/03/2020,45,5
12,6,568,13/02/2020,16,1
13,6,363,04/03/2020,7,1
14,7,164,28/11/2020,23,2
15,3,380,29/05/2020,46,4
16,3,156,02/11/2020,31,2
17,3,724,15/12/2020,32,2
18,4,320,30/01/2020,30,1
19,3,174,03/06/2020,44,4
20,4,135,21/11/2020,24,2
21,7,816,08/10/2020,26,3
22,1,747,03/05/2020,13,1
23,2,21,02/10/2020,7,1
24,2,801,24/09/2020,43,2
25,1,236,30/04/2020,7,1
26,2,93,10/01/2020,33,2
27,3,775,21/09/2020,30,1
28,2,864,25/11/2020,14,2
29,4,823,10/11/2020,17,1
30,4,743,11/02/2020,33,3
31,2,394,24/04/2020,29,1
32,1,526,31/08/2020,21,1
33,4,429,15/07/2020,27,1
34,3,30,28/07/2020,15,1
35,1,338,16/12/2020,21,1
36,2,40,02/02/2020,47,6
37,7,713,23/08/2020,10,1
38,6,88,31/10/2020,31,3
39,2,55,25/08/2020,8,1
40,5,225,06/12/2020,18,1
41,4,103,14/06/2020,34,2
42,2,458,03/03/2020,21,2
43,6,160,15/06/2020,13,1
44,2,440,13/09/2020,43,4
45,2,901,21/02/2020,39,2
46,6,857,20/05/2020,20,1
47,4,913,09/09/2020,3,1
48,4,359,21/10/2020,35,2
49,3,451,13/12/2020,8,1
50,1,59,30/12/2020,31,2
51,6,308,01/12/2020,14,1
52,1,640,20/08/2020,39,3
53,2,914,06/01/2020,46,4
54,7,216,14/08/2020,41,6
55,2,321,30/09/2020,41,6
56,1,456,21/08/2020,47,4
57,1,418,21/07/2020,40,8
58,5,771,23/02/2020,19,2
59,2,132,20/11/2020,35,3
60,1,677,16/03/2020,13,1
61,3,636,02/10/2020,42,2
62,6,222,20/08/2020,38,3
63,2,872,16/12/2020,14,2
64,3,28,27/01/2020,23,3
65,7,138,25/09/2020,25,1
66,7,8,07/02/2020,24,2
67,6,273,29/11/2020,46,2
68,1,895,14/03/2020,23,1
69,2,72,29/01/2020,3,1
70,2,168,10/03/2020,19,2
71,1,737,18/06/2020,5,1
72,5,770,17/09/2020,17,1
73,1,759,29/12/2020,22,2
74,4,440,11/08/2020,16,1
75,4,633,27/11/2020,16,2
76,4,59,02/09/2020,2,1
77,2,86,20/10/2020,46,3
78,6,412,14/09/2020,34,1
79,2,554,02/10/2020,7,1
80,1,563,23/10/2020,25,2
81,5,688,20/07/2020,1,1
82,3,433,25/03/2020,5,1
83,1,272,21/09/2020,38,4
84,7,899,19/12/2020,12,1
85,6,842,22/08/2020,30,2
86,4,588,04/12/2020,3,1
87,2,860,31/05/2020,24,1
88,3,462,20/12/2020,11,1
89,1,811,22/10/2020,2,1
90,5,817,24/02/2020,46,4
91,2,521,14/02/2020,47,5
92,3,834,05/01/2020,23,2
93,4,800,12/03/2020,46,2
94,5,174,16/02/2020,3,1
95,3,422,03/08/2020,27,3
96,1,179,06/05/2020,45,4
97,1,262,25/03/2020,34,1
98,5,484,17/01/2020,18,1
99,3,887,28/08/2020,2,1
100,2,122,31/05/2020,25,2
101,3,324,01/06/2020,22,1
102,6,43,13/12/2020,31,1
103,5,770,02/06/2020,42,3
104,2,372,28/04/2020,21,1
105,2,323,16/09/2020,37,7
106,2,809,06/10/2020,40,4
107,5,333,07/05/2020,23,2
108,3,644,01/11/2020,38,2
109,5,146,27/08/2020,36,6
110,3,143,20/02/2020,33,2
111,4,520,23/05/2020,19,1
112,2,704,16/02/2020,37,6
113,6,63,10/07/2020,17,1
114,3,26,13/03/2020,46,3
115,2,148,29/03/2020,8,1
116,2,879,22/06/2020,18,1
117,4,36,11/05/2020,29,2
118,1,115,21/03/2020,27,3
119,5,890,29/02/2020,32,2
120,3,779,24/02/2020,39,5
121,5,666,08/02/2020,5,1
122,7,600,24/09/2020,39,3
123,1,497,28/11/2020,12,1
124,3,828,28/09/2020,28,1
125,2,212,06/07/2020,21,2
126,5,369,09/02/2020,45,7
127,2,589,09/09/2020,1,1
128,4,531,24/03/2020,34,1
129,7,524,18/11/2020,3,1
130,4,455,18/04/2020,37,2
131,1,660,28/09/2020,4,1
132,1,826,15/05/2020,39,6
133,7,779,25/01/2020,4,1
134,4,596,20/01/2020,36,3
135,3,646,30/10/2020,20,1
136,5,378,28/04/2020,4,1
137,5,695,04/08/2020,40,3
138,6,32,01/01/2020,8,1
139,4,654,06/01/2020,43,3
140,2,69,19/10/2020,33,1
141,4,804,02/08/2020,37,6
142,2,737,27/03/2020,38,4
143,2,301,15/01/2020,36,3
144,7,877,07/12/2020,20,1
145,5,744,19/01/2020,11,1
146,3,411,13/03/2020,22,2
147,4,512,05/04/2020,11,1
148,5,827,23/08/2020,5,1
149,6,224,08/02/2020,31,2
150,3,528,17/11/2020,35,3
151,1,93,19/02/2020,14,2
152,5,767,07/07/2020,39,2
153,6,636,12/03/2020,4,1
154,5,530,05/01/2020,10,1
155,7,378,01/10/2020,38,2
156,5,12,09/05/2020,32,2
157,6,578,25/12/2020,30,2
158,4,23,24/03/2020,16,1
159,4,529,26/02/2020,27,3
160,5,82,20/11/2020,3,1
161,6,856,18/08/2020,19,1
162,7,98,15/04/2020,22,3
163,3,588,31/01/2020,1,1
164,5,640,29/06/2020,44,7
165,1,368,02/09/2020,38,5
166,5,465,01/07/2020,19,1
167,7,715,26/08/2020,22,1
168,7,126,28/04/2020,41,2
169,3,110,12/05/2020,9,1
170,1,545,16/04/2020,37,4
171,6,318,12/07/2020,8,1
172,3,645,28/09/2020,18,2
173,1,309,01/04/2020,3,1
174,3,74,01/12/2020,7,1
175,7,199,06/11/2020,8,1
176,7,337,09/05/2020,3,1
177,5,30,01/12/2020,27,1
178,3,291,15/12/2020,46,6
179,2,764,20/04/2020,1,1
180,5,268,13/11/2020,47,7
181,6,765,12/08/2020,25,2
182,5,177,01/12/2020,32,2
183,7,280,24/09/2020,5,1
184,1,12,15/01/2020,30,1
185,2,57,21/02/2020,43,2
186,1,536,14/02/2020,34,2
187,3,426,14/02/2020,36,6
188,5,568,03/02/2020,22,3
189,6,268,15/11/2020,35,2
190,3,882,10/07/2020,46,2
191,2,474,05/04/2020,6,1
192,2,569,19/07/2020,35,1
193,2,654,14/11/2020,29,1
194,1,857,19/05/2020,28,2
195,5,807,08/03/2020,3,1
196,2,65,31/05/2020,35,3
197,7,87,20/12/2020,19,1
198,4,661,15/01/2020,27,1
199,3,207,19/12/2020,15,2
200,2,699,06/03/2020,37,2
201,7,256,26/05/2020,2,1
202,2,243,27/12/2020,8,1
203,4,353,06/03/2020,17,1
204,6,451,25/12/2020,42,2
205,1,902,17/08/2020,18,1
206,1,749,25/01/2020,5,1
207,3,79,22/12/2020,18,1
208,3,321,07/01/2020,26,2
209,1,807,31/07/2020,44,8
210,3,589,18/08/2020,40,2
211,5,154,09/02/2020,36,6
212,6,827,04/10/2020,33,3
213,7,96,28/06/2020,31,3
214,1,912,07/01/2020,11,2
215,1,105,27/06/2020,32,2
216,5,719,07/02/2020,24,1
217,6,85,09/03/2020,3,1
218,3,2,20/09/2020,32,1
219,1,760,01/10/2020,38,8
220,6,159,14/05/2020,23,3
221,4,188,23/11/2020,19,2
222,3,280,04/07/2020,22,2
223,2,80,30/12/2020,11,1
224,2,507,11/10/2020,21,2
225,7,379,20/03/2020,38,6
226,5,685,16/05/2020,43,6
227,3,609,27/03/2020,40,6
228,7,599,01/10/2020,9,1
229,4,104,02/11/2020,33,2
230,2,452,24/07/2020,22,1
231,2,272,10/11/2020,9,1
232,6,1,18/01/2020,29,1
233,7,516,19/07/2020,43,7
234,4,899,02/10/2020,26,1
235,6,191,11/12/2020,39,5
236,2,917,19/04/2020,46,2
237,3,642,19/06/2020,35,3
238,2,101,26/08/2020,10,1
239,2,600,11/06/2020,27,3
240,5,723,15/08/2020,39,4
241,2,814,26/02/2020,27,1
242,2,805,24/08/2020,42,4
243,2,209,30/09/2020,29,2
244,7,461,30/04/2020,11,1
245,3,604,29/09/2020,42,2
246,2,715,17/09/2020,32,3
247,6,393,24/09/2020,9,1
248,7,815,17/03/2020,28,2
249,2,671,23/11/2020,2,1
250,4,8,15/04/2020,6,1
251,6,805,30/05/2020,14,1
252,2,728,07/12/2020,11,1
253,1,657,13/01/2020,30,2
254,5,255,30/05/2020,47,7
255,2,878,31/08/2020,40,8
256,7,627,18/06/2020,37,4
257,7,425,20/05/2020,9,1
258,1,850,10/03/2020,12,1
259,7,338,26/02/2020,38,7
260,1,873,21/08/2020,35,1
261,3,490,14/08/2020,9,1
262,6,716,04/07/2020,13,1
263,6,407,17/08/2020,2,1
264,7,100,23/10/2020,47,3
265,4,341,24/12/2020,46,2
266,3,527,25/05/2020,44,6
267,5,833,24/02/2020,31,3
268,6,733,17/11/2020,46,7
269,2,133,11/05/2020,43,3
270,5,884,04/09/2020,20,2
271,4,247,28/09/2020,38,4
272,4,887,22/10/2020,6,1
273,2,464,07/04/2020,4,1
274,5,925,06/09/2020,23,2
275,5,398,17/12/2020,34,1
276,6,679,19/11/2020,7,1
277,1,159,09/11/2020,12,2
278,5,392,27/05/2020,6,1
279,2,855,18/04/2020,7,1
280,3,536,17/03/2020,6,1
281,7,624,31/07/2020,17,1
282,2,439,29/07/2020,4,1
283,4,408,02/09/2020,12,1
284,6,437,01/01/2020,38,6
285,3,135,23/04/2020,5,1
286,1,407,08/03/2020,13,2
287,7,793,27/11/2020,6,1
288,2,841,11/03/2020,13,2
289,1,135,09/09/2020,34,2
290,1,109,21/05/2020,39,2
291,2,693,12/03/2020,30,3
292,6,49,28/11/2020,14,1
293,4,613,12/04/2020,35,2
294,1,114,03/08/2020,44,6
295,1,375,02/08/2020,13,1
296,7,419,25/09/2020,1,1
297,7,813,03/11/2020,4,1
298,2,921,13/08/2020,2,1
299,6,710,13/07/2020,43,4
300,7,57,30/01/2020,38,2
301,7,296,16/07/2020,44,3
302,1,463,15/12/2020,20,1
303,5,803,27/06/2020,29,3
304,7,269,03/02/2020,46,6
305,6,486,21/10/2020,42,2
306,6,546,08/10/2020,4,1
307,4,151,14/07/2020,15,1
308,5,530,11/04/2020,26,3
309,7,602,01/02/2020,6,1
310,4,284,23/04/2020,11,1
311,6,238,09/02/2020,32,1
312,5,229,19/08/2020,38,6
313,7,766,15/12/2020,1,1
314,3,34,30/12/2020,12,1
315,1,317,07/12/2020,26,3
316,1,810,01/09/2020,47,4
317,2,513,10/07/2020,13,1
318,6,565,15/12/2020,19,1
319,7,661,29/04/2020,36,4
320,5,484,03/11/2020,47,2
321,3,300,09/09/2020,1,1
322,3,368,09/04/2020,14,1
323,5,431,14/03/2020,32,1
324,1,84,11/03/2020,41,2
325,1,670,08/10/2020,1,1
326,1,497,02/11/2020,15,1
